	BLD-12-2	BLD-12-4	MOL-12-1	MOL-12-2	MOL-12-3	MOL-12-4	MAU-12-1	KAU-12-1	KAU-12-2	KAU-12-2	KAU-12-4	KAU-12-5	KAU-12-6	KAU-12-9	KAU-12-10	HNL-12-1	HNL-12-2	HNL-12-3	HNL-12-4	HNL-12-6	Hnl-12-9	Hnl-12-16	Hnl-12-17	Hnl-12-18	HNL-12-19b	HNL-12-22a	HNL-12-23	HNL-12-24	HNL-12-25a	HNL-12-26	HNL-12-27	HNL-12-28	HNL-12-29b	HNL-12-30	HNL-12-32	HNL-12-33	HNL-12-36	HNL-12-37	HNL-12-38	HNL-12-39	HNL-12-40	HNL-12-41	HNL-12-43	HNL-12-46	HNL-12-47	HNL-12-48	HNL-12-50	HNL-12-51	HNL-12-53	HNL-12-55	HNL-12-57b	HNL-12-58	HNL-12-60	HNL-12-61b	HNL-12-62
Calcite (+ Mg-calcite)	0	4.615384615	0	0	0.375	0	0	0	6.674473068	12.39669421	0	31.85595568	0	0	0	13.03780965	7.070707071	0	10.22328948	9.047619048	21.42857143	0	0	0	0	0	0	0	0	0	0	0.15918164	0	0	0	0	0	0	0	0	20.56308317	14.22530148	0.585893382	18.5529907	0	0	0	0	1.209109156	0	0	0	0	0	0
Aragonite	0	0	0	0	0	0	0	0	0.93676815	0	0	21.74515235	0	0	0	11.73402868	0	0	2.903188383	0.119047619	17.32522796	0	0	0	0	0	0	0	0	0	0	0.158709877	0	0	0	0	0	0	0	0	4.00071843	9.057396478	0.295997303	4.530738278	0	0	0	0	0.614621843	0	0	0	0	0	0
Olivine	4.006557416	8	0	0	2.5	0	0	0	0	0	0	1.939058172	0	0	0	11.99478488	7.575757576	0	0	8.095238095	2.431610942	0	0	0	0	0	0	0	0	0	0	5.269210864	0	0	0	0	0	0	0	0	0	6.369767768	0	0	0	0	0	0	4.34937141	0	0	9.257003654	0	0	0
Pyroxene	47.51213831	10.76923077	0	0	21	0	0	0	0	0	0	0	0	0	0	35.59322034	2.525252525	0	0	9.880952381	0.759878419	0	0	0	0	0	0	0	0	0	0	0.253861992	0	0	0	0	0	0	0	0	0	15.29366038	0	0	0	0	0	0	4.422771346	0	0	30.69427527	0	0	0
Plagioclase feldspar	23.7210023	11.69230769	0	0	8.75	0	0	0	0	0	0	0	0	0	0	9.908735332	5.681818182	0	0	14.16666667	12.15805471	0	0	0	15.78192253	0	0	0	4.341534009	0	0	3.676786153	5.47985782	0	0	0	0	0	0	0	0	11.07421733	0	0	0	0	0	0	8.363522101	0	0	15.22533496	0	0	0
Hematite	0	6.153846154	9.35483871	7.72139969	5.375	13.66087348	3.237858032	7.862068966	14.9882904	3.305785124	3.351955307	3.878116343	3.780964798	10.64206114	8.322663252	1.303780965	2.525252525	12.64864865	13.97708227	0	3.191489362	5.979367734	6.421786552	17.47087326	8.7517934	4.320203304	16.30319611	9.88602958	12.15629522	12.89340102	3.764656154	6.52082407	10.21919431	8.712957047	12.13283378	8.515030319	15.22562442	6.59141014	6.07358079	22.56963928	13.49252713	8.121705052	9.834671418	10.23767734	0.749752901	12.8297046	8.128794765	22.11129423	1.389804084	12.56485762	12.7064803	0	8.854579275	0.748502994	13.04909561
Maghemite	0	3.846153846	11.82795699	3.848511595	0.375	13.80136103	11.70610212	5.517241379	2.341920375	1.377410468	0.446927374	0.27700831	0	3.001618551	11.39564661	0.130378096	2.525252525	4	2.290297403	3.214285714	0.151975684	1.912918691	3.868407392	1.982244128	12.62553802	4.955527319	0.937377471	0.395140673	4.196816208	17.25888325	3.799420994	0.011826213	5.924170616	5.295930912	0.006104179	1.045026448	7.800018644	6.52E-05	2.255665884	6.183874922	1.098648658	3.092127379	4.449460831	1.693917344	1.389062502	2.220457006	1.474412191	2.592091488	0.010301974	4.799132223	4.320203304	0	3.570849236	1.047904192	0
Ilmenite	7.447701971	0	4.193548387	0.78981915	3	0.365735186	6.600249066	8.137931034	2.341920375	13.2231405	1.340782123	1.662049861	6.518904824	0.535255626	1.408450704	1.043024772	10.22727273	11.89189189	0.742389329	5.714285714	5.319148936	0.016709295	0.74076486	13.8432909	1.147776184	0	0.379246277	6.371785975	3.039073806	0	0.125416997	0.801983871	0.325829384	0.002923547	4.932836612	6.063733712	0.758047736	2.627653033	1.884272189	0.610483815	0.000330646	2.569339403	7.930415158	0.000454301	18.15123677	0.622399076	6.776099107	0.594590435	1.130999048	7.827779322	17.28081321	0.974421437	12.40898875	3.293413174	4.392764858
Goethite	0	7.230769231	3.225806452	50.05094013	1.25	31.64590083	7.471980075	21.93103448	2.576112412	13.77410468	53.63128492	6.232686981	36.76662321	35.12831844	48.78361076	4.82398957	5.050505051	15.45945946	26.72942371	0.714285714	3.495440729	9.623300531	31.80508754	12.92918021	6.599713056	2.160101652	17.0169025	7.654763279	4.77568741	4.060913706	33.51603675	18.8453613	11.40402844	20.28431393	8.968103414	15.48187331	11.53556976	15.09684957	15.8277884	14.49986178	16.37570409	7.991569231	26.37706796	9.853534628	7.289563933	8.726165984	12.94156173	30.45812388	28.83436484	9.743442186	5.84498094	0	15.39970461	27.39520958	2.583979328
Magnetite	3.868190401	6.461538462	2.365591398	2.094746433	6.5	0.848304673	0.747198007	2.344827586	5.620608899	1.928374656	9.832402235	2.908587258	5.475880052	9.20582481	6.402048656	5.867014342	1.641414141	0	6.089958621	0.238095238	1.063829787	1.794554555	4.666647726	0.689509099	12.91248207	0	1.505180027	2.314455437	0.723589001	2.842639594	0.623589055	3.620331763	8.590047393	4.938788751	3.011748025	3.483421494	3.649411148	6.715130364	5.769238225	1.390816476	1.980693331	0.400203355	2.093262503	6.305650612	4.473251495	0.901935096	9.724873487	2.428724132	5.717924123	0.882067125	0.635324015	0.852618758	0.005948891	5.389221557	15.11627907
